X,Y,vX,vY,aX,aY,dt,rX,rY,lX,lY
4.12781,-30.7417,5.31925,-4.21749,1.64123,-1.59602,0.599542,3.09873,-31.9638,5.13816,-29.5419
7.31692,-33.2703,2.37646,-5.63494,5.43588,0.270788,0.600751,5.87394,-34.4973,8.83597,-31.9786
8.74458,-36.6555,0.278169,-5.28896,3.75934,-0.824736,0.504351,7.12114,-38.8074,10.2958,-34.5993
8.88487,-39.323,-2.37086,-4.09241,5.30451,0.536632,0.586033,7.12114,-38.8074,10.6932,-39.8516
7.49547,-41.7213,-4.75504,-2.78944,4.53841,2.72114,0.44086,5.62766,-40.6849,9.39347,-42.7744
5.39916,-42.951,-6.68638,-2.09119,3.098,4.07494,0.361537,5.62766,-40.6849,5.17214,-45.2024
2.98179,-43.7071,-7.86691,-1.45349,2.02356,2.51274,0.470243,0.778049,-42.2026,5.17214,-45.2024
-0.717571,-44.3906,-7.83282,-1.62731,-0.38767,0.00433526,0.443538,-2.81249,-42.7343,1.37669,-46.0463
-4.19172,-45.1123,-7.9823,0.532597,4.3205,0.590008,0.549478,-6.34073,-43.1196,-2.03632,-47.111
-8.57782,-44.8197,-7.11506,1.66728,2.59672,-1.16714,0.453801,-6.34073,-43.1196,-10.7614,-46.4791
-11.8066,-44.0631,-5.46416,3.82599,5.32385,-0.223868,0.566223,-12.8234,-41.7129,-10.7614,-46.4791
-14.9006,-41.8967,-4.24972,6.01242,4.75958,2.29028,0.3808,-12.8234,-41.7129,-17.0252,-42.0847
-16.5189,-39.6072,-3.51819,7.18492,2.62696,1.63836,0.511963,-16.001,-37.0731,-17.0252,-42.0847
-18.3201,-35.9288,-1.85233,7.78268,3.5829,0.398827,0.469917,-16.001,-37.0731,-20.6438,-34.7821
-19.1905,-32.2715,-1.36622,7.88254,1.06452,0.0330108,0.461994,-16.8632,-33.673,-21.5191,-30.8693
-19.8217,-28.6299,0.348314,7.99246,3.84845,0.415606,0.425701,-17.6299,-30.0618,-21.9864,-27.2156
-19.6734,-25.2275,2.57496,7.57432,5.10668,0.730439,0.452655,-17.9795,-26.8758,-21.4183,-23.5295
-18.5078,-21.7989,4.07702,6.88322,4.3121,0.448018,0.310114,-17.4703,-23.9049,-19.5343,-19.7154
-17.2435,-19.6643,3.52069,7.18371,-1.839,0.0727611,0.376996,-15.9738,-21.6204,-18.512,-17.7101
-15.9162,-16.9561,2.40198,7.16113,-2.53431,-0.907355,0.454364,-14.8311,-19.1023,-16.9995,-14.8135
-14.8248,-13.7023,0.626109,6.55376,-3.85759,-1.74487,0.432229,-13.3372,-15.5192,-16.3597,-11.8278
-14.5542,-10.8696,-1.84566,5.7844,-5.36407,0.0381336,0.532961,-12.6284,-9.84753,-16.3597,-11.8278
-15.5379,-7.78674,-1.92291,5.60142,-0.298086,-0.33298,0.355886,-13.481,-7.66657,-17.5825,-7.90619
-16.2222,-5.79327,-0.0113949,5.51393,5.24628,-0.250972,0.372758,-14.0503,-5.49741,-18.5766,-6.11399
-16.2265,-3.73791,1.73912,4.13035,4.9018,-1.35832,0.504575,-14.0503,-5.49741,-18.2685,-2.08688
-15.349,-1.65384,3.56429,2.33552,5.22491,1.13397,0.452982,-13.4523,-3.23605,-17.3385,0.0058547
-13.7344,-0.595896,5.35102,0.758248,3.98128,3.40008,0.457453,-13.4523,-3.23605,-14.0154,2.03401
-11.2866,-0.249033,6.87154,-0.617794,3.09944,4.11203,0.339052,-10.7668,-2.51444,-11.8102,2.03332
-8.95675,-0.458498,7.89899,0.367383,-2.87673,3.29372,0.311951,-8.48606,-2.32383,-9.42224,1.38624
-6.49265,-0.343892,7.98187,0.539066,-0.496735,0.282578,0.355234,-6.7024,-2.04507,-6.28293,1.35708
-3.65722,-0.152398,7.98472,0.495039,0.119097,0.000330491,0.385653,-3.73331,-1.63866,-3.58113,1.33392
